date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:20	3823/3823	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/resources.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/resources.service.js	(from http://barlows.co.nz/)
23:45:21	6580/6580	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/address.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/address.service.js	(from http://barlows.co.nz/)
23:45:21	6984/6984	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/app-user.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/app-user.service.js	(from http://barlows.co.nz/)
23:45:22	6516/6516	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/availability.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/availability.service.js	(from http://barlows.co.nz/)
23:45:22	6541/6541	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/balance.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/balance.service.js	(from http://barlows.co.nz/)
23:45:23	6555/6555	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/balance-detail.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/balance-detail.service.js	(from http://barlows.co.nz/)
23:45:24	6640/6640	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/cart.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/cart.service.js	(from http://barlows.co.nz/)
23:45:25	8069/8069	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/cart-item.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/cart-item.service.js	(from http://barlows.co.nz/)
23:45:25	6626/6626	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/category.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/category.service.js	(from http://barlows.co.nz/)
23:45:26	6493/6493	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/coin-activity.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/coin-activity.service.js	(from http://barlows.co.nz/)
